MSV,Class,Subject
16006275,"['PHY2302 1', 'PHY3508 3']","['PHY2302', 'PHY3508']"
16006283,"['HIS1001 12', 'HMO3603', 'HMO3608', 'HMO3610', 'PHI1002 12']","['HMO3610', 'HMO3608', 'HMO3603', 'HIS1001', 'PHI1002']"
16006503,['EVS3241'],['EVS3241']
16006825,['PHY2304 5'],['PHY2304']
16007060,['CHE1081 10'],['CHE1081']
16007096,['MAT3300 2'],['MAT3300']
16007791,"['MAT1092 3', 'MAT2403 3']","['MAT1092', 'MAT2403']"
16008258,"['MAT1101 10', 'PHY1103 1']","['PHY1103', 'MAT1101']"
16008265,['CHE1081 14QTS'],['CHE1081']
16008485,"['MAT1092 3', 'MAT2403 3', 'PHY1106 QTL', 'POL1001 6']","['PHY1106', 'MAT1092', 'POL1001', 'MAT2403']"
16008513,['MAT1101 1'],['MAT1101']
16008531,"['CHE1084', 'CHE1085 1', 'CHE1085 2', 'CHE1085 3', 'CHE2114', 'MAT1101 14']","['CHE1084', 'MAT1101', 'CHE2114', 'CHE1085']"
16008908,"['MAT2311 2TNT', 'MAT3318 2TNT', 'MAT3347 1']","['MAT3318', 'MAT2311', 'MAT3347']"
16008946,"['CHE1081 3', 'EVS2302 2', 'EVS3241', 'EVS3245 2', 'MAT1090 2', 'MAT1092 6']","['EVS2302', 'MAT1090', 'EVS3241', 'MAT1092', 'CHE1081', 'EVS3245']"
16008988,"['MAT2303 3', 'MAT2306 2', 'MAT3500 1', 'MAT3506', 'MAT3533', 'MAT4073', 'MAT4080', 'MAT4082']","['MAT2306', 'MAT2303', 'MAT3533', 'MAT4080', 'MAT3500', 'MAT4082', 'MAT3506', 'MAT4073']"
16009074,"['MAT1192 1', 'PHY1100 9', 'PHY1103 1']","['MAT1192', 'PHY1103', 'PHY1100']"
16009266,"['CHE1081 10', 'MAT1091 5']","['CHE1081', 'MAT1091']"
16009968,['PHY2004'],['PHY2004']
16011200,"['PHY1108 2', 'PHY2302 4', 'PHY2304 2', 'PHY3606']","['PHY2302', 'PHY1108', 'PHY3606', 'PHY2304']"
16015559,"['PHY2304 1', 'PHY3606']","['PHY3606', 'PHY2304']"
16016387,['MAT1091 2'],['MAT1091']
16105255,['MAT1091 2'],['MAT1091']
17000004,"['MAT2311', 'MAT3347 2', 'MAT3363 TNT']","['MAT3363', 'MAT2311', 'MAT3347']"
17000008,['CHE2021'],['CHE2021']
17000012,"['CHE1065', 'CHE1075']","['CHE1075', 'CHE1065']"
17000127,"['MAT2308', 'MAT3452 1', 'MAT3525', 'MAT3532 1CLCMTKHTT', 'MAT3532 2CLCMTKHTT', 'MAT3532 3CLCMTKHTT', 'MAT3532 4CLCMTKHTT', 'MAT3539 2', 'MAT3544 1', 'MAT3544 2']","['MAT2308', 'MAT3544', 'MAT3525', 'MAT3452', 'MAT3539', 'MAT3532']"
17000196,"['CHE1067 3', 'CHE1069 1', 'CHE1069 10', 'CHE1069 11', 'CHE1069 12', 'CHE1069 2', 'CHE1069 3', 'CHE1069 4', 'CHE1069 5', 'CHE1069 6', 'CHE1069 7', 'CHE1069 8', 'CHE1069 9', 'CHE1083', 'CHE2114', 'MAT1101 4']","['CHE2114', 'MAT1101', 'CHE1083', 'CHE1069', 'CHE1067']"
17000229,"['CHE3254', 'MAT1101 13', 'PHY1103 11']","['PHY1103', 'MAT1101', 'CHE3254']"
17000235,"['GEO3269', 'MAT1091 10', 'POL1001 5']","['GEO3269', 'MAT1091', 'POL1001']"
17000311,['MAT3514 1'],['MAT3514']
17000426,"['MAT2303 1', 'MAT2314', 'MAT2315', 'MAT2315E CLCMTKHTT', 'MAT2317 1', 'MAT2317 2', 'MAT3301']","['MAT2315E', 'MAT2303', 'MAT2315', 'MAT3301', 'MAT2317', 'MAT2314']"
17000610,['POL1001 3'],['POL1001']
17000751,['BIO3098'],['BIO3098']
17000757,"['PHY1103 7', 'PHY1104 11', 'PHY1104 12', 'PHY1104 14', 'PHY1104 3', 'PHY1104 5', 'PHY1104 6', 'PHY1104 7', 'PHY1104 8']","['PHY1103', 'PHY1104']"
17000829,['EVS3241'],['EVS3241']
17000950,"['MAT2406', 'MAT3507']","['MAT3507', 'MAT2406']"
17000957,['MAT2303 2'],['MAT2303']
17000962,['MAT2311'],['MAT2311']
17000997,"['MAT3539 2', 'MAT3544 1', 'MAT3544 2']","['MAT3539', 'MAT3544']"
17001015,['MAT2303 3'],['MAT2303']
17001016,"['MAT2403 3', 'MAT3533']","['MAT3533', 'MAT2403']"
17001025,['CHE1081 5'],['CHE1081']
17001071,"['MAT2407 1', 'MAT3301', 'PHY1113 7']","['MAT2407', 'MAT3301', 'PHY1113']"
17001078,"['HIS1001 4', 'PHI1002 12']","['HIS1001', 'PHI1002']"
17001084,['MAT3452 1'],['MAT3452']
17001097,['BIO3304 3'],['BIO3304']
17001108,"['CHE1084', 'CHE1085 1', 'CHE1085 2', 'CHE1085 3']","['CHE1084', 'CHE1085']"
17001114,"['CHE1081 10', 'POL1001 12']","['CHE1081', 'POL1001']"
17001171,"['CHE2021', 'CHE3253', 'CHE3254']","['CHE2021', 'CHE3254', 'CHE3253']"
17001179,"['MAT3539 2', 'MAT3544 1', 'MAT3544 2']","['MAT3539', 'MAT3544']"
17001218,"['CHE1057 4', 'CHE1081 10']","['CHE1057', 'CHE1081']"
17001243,"['EVS3232', 'EVS3240 1', 'EVS3240 2', 'EVS3240 3', 'EVS3240 4', 'EVS3240 5', 'MAT1090 1', 'MAT1091 5', 'MAT1192 1', 'PHY1100 12']","['MAT1090', 'EVS3240', 'MAT1091', 'PHY1100', 'EVS3232', 'MAT1192']"
17001258,"['CHE2110E TTH', 'CHE2113 2TTH']","['CHE2110E', 'CHE2113']"
17001317,"['E363 TTKHMT', 'E455 TTKHMT', 'MAT2403 3']","['E455', 'E363', 'MAT2403']"
17001490,"['CHE1080 4', 'GEO2320 1']","['GEO2320', 'CHE1080']"
17001547,"['EVS3232', 'EVS3240 1', 'EVS3240 2', 'EVS3240 3', 'EVS3240 4', 'EVS3240 5', 'EVS3241', 'EVS3244 2', 'EVS3287', 'EVS3331 1', 'EVS3331 2', 'EVS4073 1']","['EVS4073', 'EVS3244', 'EVS3240', 'EVS3241', 'EVS3232', 'EVS3287', 'EVS3331']"
17001615,"['PHY1108 1', 'PHY2004 2QTL', 'PHY2310', 'PHY2404 TNL', 'PHY3167 1', 'PHY3508 2']","['PHY2310', 'PHY3167', 'PHY1108', 'PHY3508', 'PHY2004', 'PHY2404']"
17001710,['MAT2403 3'],['MAT2403']
17001723,"['CHE1067 3', 'CHE1069 1', 'CHE1069 10', 'CHE1069 11', 'CHE1069 12', 'CHE1069 2', 'CHE1069 3', 'CHE1069 4', 'CHE1069 5', 'CHE1069 6', 'CHE1069 7', 'CHE1069 8', 'CHE1069 9', 'MAT1092 5']","['MAT1092', 'CHE1069', 'CHE1067']"
17001803,['MAT1192 2'],['MAT1192']
17001896,"['MAT3305', 'MAT3306']","['MAT3305', 'MAT3306']"
17001902,"['CHE2018', 'CHE2019 1', 'CHE2019 2', 'CHE2019 3CLCCNH', 'CHE2019 4CLCCNH', 'CHE2019 5CLCHD']","['CHE2018', 'CHE2019']"
17002124,"['MAT2308', 'MAT2502 7']","['MAT2502', 'MAT2308']"
17002137,"['CHE1048', 'CHE1065', 'CHE2021', 'CHE3045', 'CHE3254', 'MAT1101 1']","['CHE3254', 'CHE1048', 'CHE1065', 'MAT1101', 'CHE3045', 'CHE2021']"
17002197,"['EVS3241', 'EVS3250 1', 'EVS4071 3']","['EVS3241', 'EVS3250', 'EVS4071']"
17002250,['MAT1192 1'],['MAT1192']
17002345,"['BIO3258 1', 'CHE1081 10', 'PHY1103 12']","['CHE1081', 'PHY1103', 'BIO3258']"
17002391,"['HIS1001 5', 'PHI1002 6', 'PHY2304 2', 'PHY3508 4TNL', 'POL1001 10']","['POL1001', 'PHY3508', 'PHY2304', 'HIS1001', 'PHI1002']"
17002505,['EVS3241'],['EVS3241']
17002523,"['MAT2301 4', 'MAT2303 2', 'MAT2314', 'MAT2315', 'MAT2315E CLCMTKHTT', 'MAT2317 1', 'MAT2317 2']","['MAT2315E', 'MAT2303', 'MAT2315', 'MAT2317', 'MAT2301', 'MAT2314']"
17002632,"['MAT2301 2', 'MAT2303 2']","['MAT2301', 'MAT2303']"
17002740,"['MAT2308', 'MAT2406', 'MAT3452 1', 'MAT3514 2']","['MAT2308', 'MAT3514', 'MAT2406', 'MAT3452']"
17002746,"['MAT2403 3', 'MAT2406', 'MAT3525', 'MAT3532 1CLCMTKHTT', 'MAT3532 2CLCMTKHTT', 'MAT3532 3CLCMTKHTT', 'MAT3532 4CLCMTKHTT']","['MAT3525', 'MAT2406', 'MAT3532', 'MAT2403']"
17002810,['GEO2059 1'],['GEO2059']
17002876,['CHE1081 4'],['CHE1081']
17002889,"['GEO2320 1', 'GEO3304']","['GEO3304', 'GEO2320']"
17002957,"['BIO2045E 3CLCCNS', 'BIO2400E 5CLCCNS', 'CHE1081 13CLCCNS', 'PHY1103 2']","['BIO2045E', 'CHE1081', 'PHY1103', 'BIO2400E']"
17003032,"['MAT2311', 'MAT2314', 'MAT2315', 'MAT2315E CLCMTKHTT', 'MAT2317 1', 'MAT2317 2', 'MAT3305', 'MAT3306', 'MAT3347 1']","['MAT3305', 'MAT2311', 'MAT2315E', 'MAT3347', 'MAT2315', 'MAT3306', 'MAT2317', 'MAT2314']"
17003083,"['PHY1108 4', 'PHY2302 5', 'PHY3508 3']","['PHY2302', 'PHY1108', 'PHY3508']"
17003103,['MAT2403 3'],['MAT2403']
17003220,['PHY2064 TNL'],['PHY2064']
17003237,"['MAT3452 2', 'MAT3514 2', 'MAT3533', 'MAT3539 1']","['MAT3533', 'MAT3514', 'MAT3452', 'MAT3539']"
17003438,"['MAT2306 2', 'PHY1103 10']","['PHY1103', 'MAT2306']"
17003445,['MAT2303 4'],['MAT2303']
17003673,"['BIO2400E 2CLCCNS', 'BIO3182 2CLCCNS', 'MAT1101 7', 'MAT1192 7CLCCNS', 'PHY1100 8']","['PHY1100', 'BIO3182', 'MAT1192', 'BIO2400E', 'MAT1101']"
17003756,['EVS4071 4'],['EVS4071']
17003780,['PHY2306'],['PHY2306']
17003909,['MAT2303 2'],['MAT2303']
17003974,"['PHY3163 2QTL', 'PHY3508 1', 'PHY3609 2', 'PHY3610 1', 'PHY3610 2', 'PHY3610 3', 'PHY3610 4TNL', 'PHY3610E QTL', 'PHY3623 1', 'PHY3623 2', 'POL1001 6']","['PHY3610E', 'PHY3610', 'PHY3508', 'PHY3623', 'POL1001', 'PHY3163', 'PHY3609']"
17003989,['CHE3045'],['CHE3045']
17004045,"['MAT1092 2', 'PHI1002 5']","['MAT1092', 'PHI1002']"
17004087,['MAT2502 7'],['MAT2502']
17004128,['GEO3219'],['GEO3219']
17004137,['CHE3254'],['CHE3254']
17004264,['MAT2311'],['MAT2311']
17004298,"['BIO3099', 'BIO3169']","['BIO3169', 'BIO3099']"
17004373,"['CHE1048', 'MAT1091 2']","['CHE1048', 'MAT1091']"
17004410,"['BIO3330 CLCCNS', 'BIO3345 CLCCNS', 'CHE1081 13CLCCNS']","['BIO3345', 'BIO3330', 'CHE1081']"
17004472,"['MAT3525', 'MAT3532 1CLCMTKHTT', 'MAT3532 2CLCMTKHTT', 'MAT3532 3CLCMTKHTT', 'MAT3532 4CLCMTKHTT']","['MAT3525', 'MAT3532']"
17004546,"['MAT2311', 'MAT3365', 'MAT3372', 'PHI1002 3']","['MAT3365', 'MAT2311', 'MAT3372', 'PHI1002']"
17004650,"['MAT2034', 'MAT2308', 'MAT2314', 'MAT2315', 'MAT2315E CLCMTKHTT', 'MAT2317 1', 'MAT2317 2', 'MAT3507']","['MAT2308', 'MAT2315E', 'MAT2315', 'MAT2317', 'MAT2034', 'MAT3507', 'MAT2314']"
17004828,['PHY1100 2'],['PHY1100']
17004880,"['MAT3525', 'MAT3532 1CLCMTKHTT', 'MAT3532 2CLCMTKHTT', 'MAT3532 3CLCMTKHTT', 'MAT3532 4CLCMTKHTT']","['MAT3525', 'MAT3532']"
17004917,"['MAT3452 1', 'MAT3535 CLCMTKHTT', 'PHY1100 13']","['PHY1100', 'MAT3535', 'MAT3452']"
17005008,['CHE1080 2'],['CHE1080']
17005014,"['CHE1057 2', 'EVS3158', 'EVS3159 CLCCNKTMT', 'EVS3287', 'EVS3331 1', 'EVS3331 2', 'EVS3455', 'EVS3459 TTKHMT', 'EVS3460', 'EVS3464 CLCCNKTMT', 'EVS4071 3', 'MAT1092 1']","['EVS3159', 'EVS3459', 'EVS3460', 'MAT1092', 'EVS3287', 'CHE1057', 'EVS3331', 'EVS4071', 'EVS3158', 'EVS3455', 'EVS3464']"
17005017,"['MAT2301 4', 'MAT2303 2']","['MAT2301', 'MAT2303']"
17005075,"['BIO2127 2CLCCNS', 'BIO2215E 5CLCCNS', 'BIO2516 4CLCCNS', 'BIO2800 5CLCCNS', 'BIO3302E 5CLCCNS', 'BIO3802E 2CLCCNS']","['BIO2516', 'BIO2127', 'BIO3802E', 'BIO2215E', 'BIO3302E', 'BIO2800']"
17005115,"['CHE1075E 2CLCHD', 'MAT1092 12TTH']","['MAT1092', 'CHE1075E']"
17005166,"['MAT3452 1', 'MAT3539 1']","['MAT3452', 'MAT3539']"
17005320,"['MAT2403 3', 'MAT2406']","['MAT2406', 'MAT2403']"
17005436,"['MAT3525', 'MAT3532 1CLCMTKHTT', 'MAT3532 2CLCMTKHTT', 'MAT3532 3CLCMTKHTT', 'MAT3532 4CLCMTKHTT']","['MAT3525', 'MAT3532']"
17005443,['CHE1080 2'],['CHE1080']
17005538,"['GEO3265', 'GEO3269', 'GEO3270', 'GEO3276', 'GEO3293', 'HIS1056 2', 'MAT1091 10']","['GEO3276', 'GEO3270', 'GEO3265', 'MAT1091', 'GEO3269', 'GEO3293', 'HIS1056']"
17005618,"['BIO3356 4CLCCNS', 'CHE1057 5CLCCNS', 'CHE1080 5', 'MAT1091 7', 'MAT1101 4', 'PHY1103 2']","['BIO3356', 'MAT1091', 'CHE1057', 'MAT1101', 'PHY1103', 'CHE1080']"
17005634,"['MAT2403 3', 'MAT2502 7']","['MAT2502', 'MAT2403']"
17005636,"['MAT1091 7', 'MAT1092 3']","['MAT1092', 'MAT1091']"
17005657,"['CHE1065', 'CHE1067 2CLCHD', 'MAT1092 2']","['MAT1092', 'CHE1065', 'CHE1067']"
17005746,"['BIO2045 1', 'CHE1057 2', 'CHE1080 1', 'MAT1101 11', 'PHY1103 1']","['BIO2045', 'CHE1057', 'MAT1101', 'PHY1103', 'CHE1080']"
17005895,"['CHE1065', 'CHE1091 1', 'CHE2018', 'CHE2019 1', 'CHE2019 2', 'CHE2019 3CLCCNH', 'CHE2019 4CLCCNH', 'CHE2019 5CLCHD', 'CHE3045', 'CHE3253', 'CHE3254']","['CHE2018', 'CHE3254', 'CHE1065', 'CHE3253', 'CHE3045', 'CHE2019', 'CHE1091']"
17005898,['BIO3303 2'],['BIO3303']
17006074,['CHE1080 2'],['CHE1080']
17006081,"['CHE1084', 'CHE1085 1', 'CHE1085 2', 'CHE1085 3']","['CHE1084', 'CHE1085']"
17006089,['MAT1091 2'],['MAT1091']
17006154,"['MAT1101 1', 'MAT1192 1']","['MAT1192', 'MAT1101']"
17006166,['MAT1092 7'],['MAT1092']
17006180,['MAT2301 2'],['MAT2301']
17006218,"['GEO3266', 'GEO3305']","['GEO3305', 'GEO3266']"
17006357,"['MAT2311', 'MAT2407 1', 'MAT3300 1', 'MAT3306', 'PHY1100 11']","['MAT3300', 'MAT2311', 'PHY1100', 'MAT3306', 'MAT2407']"
17006362,['MAT1090 2'],['MAT1090']
17006389,"['MAT3452 1', 'MAT3525', 'MAT3532 1CLCMTKHTT', 'MAT3532 2CLCMTKHTT', 'MAT3532 3CLCMTKHTT', 'MAT3532 4CLCMTKHTT']","['MAT3525', 'MAT3532', 'MAT3452']"
17006556,['MAT2502 7'],['MAT2502']
17006580,"['EVS3241', 'EVS3242 1', 'PHY1103 10']","['EVS3242', 'PHY1103', 'EVS3241']"
17006598,"['BIO3373 1TNS', 'BIO3504 1TNS', 'MAT1259 TNS', 'POL1001 1']","['MAT1259', 'BIO3504', 'BIO3373', 'POL1001']"
17006599,"['MAT3525', 'MAT3532 1CLCMTKHTT', 'MAT3532 2CLCMTKHTT', 'MAT3532 3CLCMTKHTT', 'MAT3532 4CLCMTKHTT', 'MAT3533', 'MAT3539 2', 'MAT3544 1', 'MAT3544 2']","['MAT3533', 'MAT3544', 'MAT3525', 'MAT3539', 'MAT3532']"
17006622,['CHE1090'],['CHE1090']
17006630,"['BIO2202 2', 'BIO3304 1', 'CHE1057 1', 'CHE1081 6', 'MAT1101 14', 'MAT1192 3', 'PHY1100 10', 'PHY1103 1']","['PHY1103', 'PHY1100', 'MAT1192', 'CHE1057', 'BIO3304', 'BIO2202', 'MAT1101', 'CHE1081']"
17006656,['MAT2303 4'],['MAT2303']
17006730,"['MAT1091 2', 'MAT1092 1', 'MAT3525', 'MAT3532 1CLCMTKHTT', 'MAT3532 2CLCMTKHTT', 'MAT3532 3CLCMTKHTT', 'MAT3532 4CLCMTKHTT']","['MAT3525', 'MAT1092', 'MAT1091', 'MAT3532']"
17006735,"['BIO3098', 'MAT1090 2', 'MAT1101 6', 'PHI1002 10']","['BIO3098', 'PHI1002', 'MAT1101', 'MAT1090']"
17006804,['CHE1081 6'],['CHE1081']
17006906,['MAT2301 1'],['MAT2301']
17006908,"['BIO3178 4CLCCNS', 'BIO3258 2', 'POL1001 6']","['BIO3258', 'POL1001', 'BIO3178']"
17006926,['PHY1103 1'],['PHY1103']
17007045,"['GEO3265', 'GEO3266', 'GEO3269', 'MAT1091 2', 'PHY1103 2']","['GEO3265', 'MAT1091', 'GEO3266', 'GEO3269', 'PHY1103']"
17007082,"['GEO1050 4', 'PHY1106 QTL', 'PHY1108 1', 'PHY2206 2', 'PHY3167 1']","['PHY3167', 'GEO1050', 'PHY1108', 'PHY2206', 'PHY1106']"
17007155,['MAT2303 2'],['MAT2303']
17007234,"['BIO2202 2', 'HIS1056 5']","['BIO2202', 'HIS1056']"
17007333,['MAT2403 3'],['MAT2403']
17007399,"['MAT2403 1', 'MAT3525', 'MAT3532 1CLCMTKHTT', 'MAT3532 2CLCMTKHTT', 'MAT3532 3CLCMTKHTT', 'MAT3532 4CLCMTKHTT', 'MAT3539 2', 'MAT3544 1', 'MAT3544 2', 'PHI1002 12']","['MAT3544', 'MAT3525', 'PHI1002', 'MAT3539', 'MAT3532', 'MAT2403']"
17007402,['CHE1057 5CLCCNS'],['CHE1057']
17007595,"['CHE1048', 'CHE1067 3', 'CHE1069 1', 'CHE1069 10', 'CHE1069 11', 'CHE1069 12', 'CHE1069 2', 'CHE1069 3', 'CHE1069 4', 'CHE1069 5', 'CHE1069 6', 'CHE1069 7', 'CHE1069 8', 'CHE1069 9']","['CHE1069', 'CHE1048', 'CHE1067']"
17007620,"['MAT2301 2', 'MAT2306 1', 'MAT2311', 'MAT3347 2', 'MAT3363 TNT', 'PHI1002 4']","['MAT3363', 'MAT2311', 'MAT3347', 'MAT2306', 'MAT2301', 'PHI1002']"
17007746,"['BIO3098', 'BIO3099', 'BIO3169', 'BIO3304 4', 'CHE1057 2']","['BIO3099', 'BIO3098', 'CHE1057', 'BIO3304', 'BIO3169']"
17007807,"['E363 TTKHMT', 'E455 TTKHMT', 'MAT1092 3', 'MAT2403 3']","['MAT1092', 'E455', 'E363', 'MAT2403']"
17007866,"['BIO3304 4', 'MAT1091 3']","['MAT1091', 'BIO3304']"
17007870,['PHY1100 7'],['PHY1100']
17007911,['MAT1092 7'],['MAT1092']
17007975,"['CHE1048', 'CHE1067 1CLCHD', 'CHE1090', 'HIS1056 1', 'PHY1103 1']","['CHE1090', 'CHE1048', 'CHE1067', 'PHY1103', 'HIS1056']"
17008031,['CHE1090'],['CHE1090']
17008064,"['PHY1100 4', 'PHY1103 5']","['PHY1103', 'PHY1100']"
17008148,"['CHE1052', 'CHE1054 10', 'CHE1054 11', 'CHE1054 12', 'CHE1054 13', 'CHE1054 14', 'CHE1054 15', 'CHE1054 1CLCHD', 'CHE1054 2CLCHD', 'CHE1054 3CLCHD', 'CHE1054 4CLCHD', 'CHE1054 5CLCCNKTHH', 'CHE1054 9']","['CHE1052', 'CHE1054']"
17008170,"['CHE1065', 'MAT1092 1', 'PHY1100 13']","['MAT1092', 'PHY1100', 'CHE1065']"
17008194,"['BIO3098', 'BIO3304 4']","['BIO3098', 'BIO3304']"
17008217,"['MAT1092 6', 'PHI1002 11']","['MAT1092', 'PHI1002']"
17008272,"['MAT1091 3', 'MAT1092 2']","['MAT1092', 'MAT1091']"
17008293,"['EVS3232', 'EVS3240 1', 'EVS3240 2', 'EVS3240 3', 'EVS3240 4', 'EVS3240 5', 'EVS4073 2']","['EVS3240', 'EVS3232', 'EVS4073']"
17008415,['BIO3178 2CLCCNS'],['BIO3178']
17008451,"['CHE1065', 'CHE3045', 'MAT1101 5', 'PHY1103 11']","['PHY1103', 'MAT1101', 'CHE1065', 'CHE3045']"
17008511,"['MAT2403 3', 'MAT3525', 'MAT3532 1CLCMTKHTT', 'MAT3532 2CLCMTKHTT', 'MAT3532 3CLCMTKHTT', 'MAT3532 4CLCMTKHTT', 'MAT3539 1', 'PHY1103 11']","['MAT3525', 'MAT3539', 'PHY1103', 'MAT3532', 'MAT2403']"
17008525,"['CHE1080 2', 'MAT1090 1', 'PHY1103 3']","['MAT1090', 'PHY1103', 'CHE1080']"
17008573,"['MAT2403 3', 'MAT2502 1', 'MAT3500 1', 'MAT3525', 'MAT3532 1CLCMTKHTT', 'MAT3532 2CLCMTKHTT', 'MAT3532 3CLCMTKHTT', 'MAT3532 4CLCMTKHTT', 'MAT3539 1']","['MAT3500', 'MAT3525', 'MAT3539', 'MAT2502', 'MAT3532', 'MAT2403']"
17008686,"['MAT3525', 'MAT3532 1CLCMTKHTT', 'MAT3532 2CLCMTKHTT', 'MAT3532 3CLCMTKHTT', 'MAT3532 4CLCMTKHTT']","['MAT3525', 'MAT3532']"
17008788,"['MAT3514 1', 'MAT3525', 'MAT3532 1CLCMTKHTT', 'MAT3532 2CLCMTKHTT', 'MAT3532 3CLCMTKHTT', 'MAT3532 4CLCMTKHTT']","['MAT3525', 'MAT3514', 'MAT3532']"
17008800,"['BIO2089 TNS', 'BIO2504 TNS', 'BIO2514 1CLCCNS', 'BIO2514 2CLCCNS', 'BIO3263 TNS', 'BIO3377 TNS']","['BIO2089', 'BIO2504', 'BIO3263', 'BIO2514', 'BIO3377']"
17008888,"['CHE1080 5', 'MAT1101 14']","['MAT1101', 'CHE1080']"
17008903,['MAT3514 1'],['MAT3514']
17009066,"['CHE1081 10', 'MAT1090 1', 'PHY1103 2']","['CHE1081', 'PHY1103', 'MAT1090']"
17009264,"['MAT2308', 'MAT3452 1', 'MAT3539 1']","['MAT2308', 'MAT3452', 'MAT3539']"
17009381,"['EVS3232', 'EVS3240 1', 'EVS3240 2', 'EVS3240 3', 'EVS3240 4', 'EVS3240 5']","['EVS3240', 'EVS3232']"
17009472,['CHE3045'],['CHE3045']
17009653,['MAT1101 4'],['MAT1101']
17009699,"['CHE2021', 'CHE3253', 'MAT1092 3', 'PHY1100 12', 'PHY1103 11']","['PHY1100', 'CHE3253', 'MAT1092', 'CHE2021', 'PHY1103']"
17009820,['PHI1002 12'],['PHI1002']
17009845,"['MAT3525', 'MAT3532 1CLCMTKHTT', 'MAT3532 2CLCMTKHTT', 'MAT3532 3CLCMTKHTT', 'MAT3532 4CLCMTKHTT']","['MAT3525', 'MAT3532']"
17009894,['MAT2311'],['MAT2311']
17009958,"['E363 TTKHMT', 'E455 TTKHMT', 'MAT1092 3', 'MAT2403 3']","['MAT1092', 'E455', 'E363', 'MAT2403']"
17010957,"['MAT2306 2', 'PHY2500 1']","['PHY2500', 'MAT2306']"
